,BP
0,True
1,False
2,False
3,False
4,True
5,False
6,True
7,False
8,False
9,False
10,True
11,True
12,False
13,False
14,True
15,False
16,False
17,True
18,False
19,True
20,True
21,False
22,True
23,True
24,False
25,True
26,True
27,False
28,True
29,False
30,True
31,False
32,True
33,False
34,False
35,False
36,True
37,False
38,False
39,True
40,True
41,False
42,False
43,False
44,False
45,False
46,False
47,False
48,False
49,False
50,False
51,True
52,False
53,True
54,True
55,False
56,False
57,False
58,False
59,False
60,True
61,False
62,False
63,True
64,False
65,False
66,False
67,True
68,True
69,True
70,True
71,False
72,True
73,True
74,False
75,False
76,True
77,False
78,True
79,True
80,False
81,False
82,True
83,True
84,False
85,True
86,False
87,False
88,False
89,True
90,False
91,False
92,True
93,True
94,False
95,False
96,False
97,False
98,False
99,False
100,False
101,False
102,False
103,True
104,False
105,False
106,False
107,False
108,False
109,False
110,True
111,True
112,False
113,True
114,False
115,False
116,True
117,True
118,False
119,False
120,False
121,False
122,False
123,True
124,False
125,False
126,True
127,True
128,False
129,True
130,False
131,False
132,True
133,False
134,True
135,False
136,False
137,False
138,True
139,False
140,True
141,False
142,True
143,False
144,False
145,True
146,False
147,False
148,False
149,False
150,False
151,True
152,True
153,True
154,True
155,True
156,True
157,True
158,False
159,False
160,True
161,True
162,False
163,False
164,True
165,False
166,True
167,True
168,False
169,True
170,True
171,False
172,False
173,True
174,False
175,True
176,False
177,False
178,False
179,False
180,False
181,False
182,True
183,False
184,False
185,False
186,False
187,False
188,False
189,False
190,True
191,True
192,True
193,True
194,True
195,False
196,False
197,False
198,False
199,False
200,False
201,True
202,False
203,True
204,False
205,True
206,False
207,True
208,False
209,False
210,False
211,True
212,False
213,False
214,False
215,False
216,False
217,False
218,True
219,False
220,False
221,True
222,True
223,True
224,True
225,False
226,False
227,False
228,False
229,True
230,False
231,True
232,False
233,False
234,False
235,False
236,False
237,False
238,False
239,False
240,False
241,False
242,False
243,True
244,False
245,False
246,False
247,True
248,True
249,False
250,False
251,False
252,True
253,True
254,True
255,True
256,False
257,False
258,False
259,False
260,False
261,False
262,False
263,False
264,False
265,False
266,False
267,False
268,True
269,False
270,True
271,False
272,False
273,False
274,False
275,True
276,False
277,False
278,False
279,True
280,True
281,True
282,True
283,True
284,True
285,False
286,True
287,False
288,True
289,False
290,True
291,True
292,True
293,True
294,False
295,True
296,True
297,False
298,True
299,False
300,False
301,False
302,False
303,False
304,True
305,True
306,True
307,False
308,False
309,False
310,True
311,True
312,True
313,True
314,False
315,True
316,False
317,False
318,False
319,True
320,True
321,False
322,False
323,False
324,False
325,False
326,False
327,True
328,False
329,True
330,False
331,False
332,False
333,False
334,True
335,False
336,False
337,False
338,False
339,True
340,True
341,True
342,True
343,True
344,False
345,True
346,False
347,True
348,True
349,False
350,True
351,True
352,True
353,False
354,False
355,True
356,False
357,False
358,False
359,True
360,True
361,False
362,False
363,False
364,False
365,False
366,False
367,True
368,True
369,False
370,False
371,False
372,False
373,False
374,False
375,False
376,True
377,False
378,False
379,True
380,False
381,True
