,BP
0,False
1,False
2,True
3,True
4,True
5,False
6,False
7,True
8,False
9,False
10,False
11,True
12,False
13,False
14,True
15,True
16,True
17,True
18,True
19,False
20,False
21,True
22,False
23,False
24,False
25,False
26,False
27,False
28,False
29,True
30,True
31,True
32,False
33,False
34,False
35,True
36,True
37,False
38,True
39,True
40,True
41,False
42,False
43,True
44,False
45,False
46,True
47,True
48,False
49,True
50,False
51,False
52,True
53,False
54,False
55,False
56,True
57,False
58,False
59,False
60,False
61,True
62,True
63,True
64,False
65,True
66,True
67,False
68,True
69,False
70,False
71,True
72,False
73,False
74,True
75,False
76,False
77,False
78,False
79,False
80,False
81,True
82,False
83,False
84,True
85,True
86,False
87,False
88,True
89,True
90,True
91,True
92,True
93,False
94,False
95,False
96,True
97,False
98,False
99,True
