,dysp
0,1
1,0
2,1
3,1
4,0
5,0
6,1
7,0
8,1
9,1
10,1
11,0
12,1
13,0
14,0
15,1
16,1
17,0
18,1
19,1
20,1
21,1
22,0
23,0
24,1
25,1
26,1
27,1
28,0
29,0
30,0
31,0
32,1
33,1
34,0
35,1
36,1
37,0
38,0
39,1
40,1
41,1
42,0
43,0
44,1
45,0
46,1
47,0
48,1
49,0
50,0
51,0
52,0
53,1
54,0
55,0
56,0
57,1
58,1
59,1
60,1
61,1
62,0
63,1
64,1
65,1
66,0
67,0
68,1
69,0
70,1
71,1
72,1
73,1
74,1
75,1
76,0
77,1
78,1
79,0
80,1
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,1
89,1
90,1
91,0
92,1
93,1
94,1
95,1
96,1
97,0
98,0
99,1
100,1
101,1
102,1
103,1
104,0
105,0
106,0
107,0
108,1
109,0
110,1
111,1
112,1
113,0
114,1
115,1
116,0
117,1
118,1
119,0
120,1
121,1
122,1
123,0
124,0
125,1
126,1
127,0
128,0
129,1
130,1
131,1
132,0
133,0
134,1
135,0
136,1
137,1
138,1
139,1
140,1
141,0
142,1
143,0
144,0
145,0
146,1
147,0
148,0
149,1
150,1
151,1
152,0
153,1
154,0
155,1
156,0
157,0
158,1
159,0
160,0
161,1
162,1
163,0
164,0
165,0
166,1
167,1
168,1
169,1
170,0
171,0
172,1
173,1
174,0
175,1
176,1
177,1
178,0
179,1
180,1
181,1
182,1
183,0
184,0
185,1
186,1
187,1
188,0
189,0
190,1
191,1
192,0
193,0
194,0
195,1
196,1
197,1
198,0
199,0
200,0
201,0
202,0
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,0
211,1
212,1
213,0
214,1
215,1
216,0
217,1
218,0
219,0
220,1
221,1
222,1
223,0
224,0
225,0
226,1
227,1
228,0
229,1
230,0
231,1
232,1
233,1
234,0
235,0
236,1
237,0
238,1
239,1
240,0
241,0
242,1
243,0
244,0
245,1
246,1
247,1
248,0
249,1
250,0
251,1
252,0
253,1
254,0
255,1
256,1
257,0
258,1
259,0
260,0
261,1
262,1
263,1
264,1
265,1
266,0
267,1
268,0
269,0
270,0
271,0
272,1
273,0
274,1
275,0
276,0
277,0
278,1
279,1
280,1
281,1
282,1
283,0
284,1
285,0
286,1
287,0
288,1
289,1
290,0
291,0
292,0
293,0
294,0
295,1
296,0
297,1
298,1
299,1
300,0
301,0
302,0
303,1
304,0
305,0
306,1
307,0
308,1
309,0
310,0
311,0
312,0
313,0
314,0
315,1
316,0
317,1
318,1
319,1
320,1
321,0
322,1
323,1
324,1
325,1
326,0
327,0
328,0
329,1
330,0
331,1
332,0
333,0
334,1
335,0
336,1
337,0
338,0
339,1
340,0
341,0
342,1
343,1
344,1
345,0
346,0
347,0
348,0
349,1
350,0
351,1
352,1
353,0
354,1
355,0
356,0
357,0
358,1
359,1
360,1
361,1
362,0
363,1
364,1
365,1
366,1
367,0
368,1
369,1
370,0
371,1
372,1
373,0
374,0
375,1
376,0
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,0
388,0
389,0
390,0
391,1
392,0
393,0
394,1
395,1
396,0
397,0
398,1
399,0
400,1
401,1
402,1
403,0
404,1
405,0
406,0
407,0
408,1
409,0
410,0
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,0
419,1
420,0
421,0
422,1
423,0
424,0
425,0
426,0
427,1
428,0
429,1
430,1
431,1
432,1
433,0
434,0
435,0
436,0
437,1
438,1
439,0
440,1
441,1
442,1
443,1
444,1
445,0
446,0
447,0
448,0
449,1
450,1
451,1
452,0
453,1
454,0
455,0
456,0
457,1
458,0
459,0
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,0
471,1
472,1
473,1
474,0
475,1
476,1
477,1
478,0
479,0
480,1
481,1
482,0
483,1
484,1
485,0
486,1
487,1
488,1
489,0
490,1
491,1
492,1
493,1
494,1
495,0
496,1
497,1
498,1
499,1
500,0
501,0
502,0
503,1
504,0
505,0
506,0
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,0
515,1
516,0
517,0
518,1
519,0
520,0
521,1
522,1
523,1
524,0
525,0
526,0
527,1
528,0
529,1
530,0
531,1
532,0
533,1
534,1
535,0
536,0
537,0
538,0
539,0
540,1
541,1
542,0
543,1
544,1
545,1
546,0
547,0
548,0
549,1
550,1
551,0
552,0
553,1
554,1
555,0
556,1
557,1
558,1
559,1
560,0
561,1
562,1
563,1
564,0
565,1
566,1
567,0
568,1
569,0
570,1
571,1
572,1
573,1
574,1
575,0
576,1
577,0
578,1
579,1
580,1
581,1
582,0
583,1
584,0
585,0
586,0
587,1
588,1
589,0
590,1
591,0
592,0
593,1
594,0
595,1
596,1
597,1
598,1
599,0
600,1
601,0
602,1
603,1
604,0
605,0
606,0
607,0
608,0
609,1
610,1
611,0
612,1
613,1
614,1
615,1
616,0
617,0
618,1
619,0
620,1
621,1
622,0
623,0
624,1
625,1
626,1
627,0
628,1
629,0
630,1
631,0
632,1
633,1
634,0
635,1
636,0
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,1
645,0
646,1
647,1
648,1
649,0
650,0
651,1
652,1
653,0
654,0
655,0
656,0
657,0
658,1
659,0
660,0
661,0
662,1
663,1
664,1
665,0
666,1
667,1
668,1
669,0
670,1
671,1
672,1
673,0
674,0
675,0
676,0
677,1
678,1
679,1
680,1
681,1
682,0
683,1
684,1
685,0
686,1
687,0
688,1
689,1
690,1
691,1
692,0
693,1
694,1
695,1
696,1
697,1
698,0
699,0
700,1
701,1
702,0
703,0
704,1
705,1
706,1
707,1
708,0
709,1
710,0
711,0
712,0
713,0
714,0
715,0
716,1
717,1
718,0
719,1
720,0
721,1
722,1
723,0
724,1
725,1
726,1
727,0
728,1
729,1
730,1
731,0
732,0
733,0
734,0
735,1
736,1
737,0
738,1
739,1
740,1
741,0
742,0
743,1
744,1
745,1
746,1
747,1
748,0
749,1
750,0
751,1
752,1
753,1
754,1
755,1
756,0
757,0
758,1
759,0
760,0
761,1
762,0
763,1
764,0
765,1
766,0
767,0
768,1
769,1
770,1
771,0
772,1
773,1
774,0
775,0
776,1
777,0
778,0
779,0
780,1
781,0
782,1
783,0
784,1
785,0
786,0
787,0
788,1
789,1
790,0
791,0
792,0
793,0
794,1
795,0
796,1
797,1
798,1
799,1
800,1
801,0
802,0
803,1
804,1
805,0
806,1
807,1
808,0
809,1
810,0
811,1
812,1
813,0
814,1
815,1
816,1
817,1
818,0
819,1
820,1
821,1
822,1
823,0
824,1
825,1
826,0
827,1
828,0
829,0
830,1
831,0
832,1
833,1
834,1
835,0
836,1
837,0
838,0
839,0
840,1
841,0
842,0
843,0
844,1
845,1
846,1
847,1
848,1
849,0
850,1
851,0
852,1
853,1
854,1
855,0
856,1
857,0
858,1
859,0
860,1
861,0
862,0
863,0
864,1
865,0
866,1
867,1
868,0
869,1
870,0
871,1
872,1
873,1
874,0
875,0
876,0
877,1
878,1
879,0
880,1
881,1
882,0
883,1
884,1
885,1
886,0
887,1
888,0
889,1
890,1
891,1
892,0
893,0
894,1
895,0
896,1
897,1
898,0
899,1
900,1
901,1
902,0
903,0
904,0
905,1
906,1
907,1
908,0
909,1
910,0
911,1
912,0
913,0
914,0
915,1
916,0
917,1
918,0
919,1
920,0
921,0
922,0
923,0
924,0
925,0
926,1
927,0
928,0
929,1
930,0
931,0
932,0
933,1
934,1
935,1
936,1
937,1
938,1
939,1
940,1
941,0
942,0
943,0
944,0
945,0
946,1
947,1
948,0
949,1
950,1
951,0
952,1
953,1
954,1
955,0
956,1
957,0
958,0
959,1
960,1
961,1
962,1
963,1
964,0
965,0
966,0
967,1
968,1
969,1
970,0
971,0
972,1
973,1
974,0
975,0
976,1
977,1
978,1
979,1
980,1
981,1
982,1
983,0
984,1
985,1
986,1
987,0
988,0
989,0
990,1
991,1
992,0
993,1
994,1
995,1
996,0
997,0
998,1
999,1
1000,0
1001,0
1002,1
1003,0
1004,0
1005,1
1006,1
1007,0
1008,0
1009,1
1010,1
1011,1
1012,0
1013,0
1014,1
1015,0
1016,1
1017,1
1018,1
1019,1
1020,0
1021,0
1022,0
1023,0
1024,0
1025,1
1026,1
1027,1
1028,1
1029,0
1030,1
1031,1
1032,1
1033,1
1034,1
1035,0
1036,0
1037,1
1038,0
1039,1
1040,1
1041,1
1042,1
1043,0
1044,1
1045,0
1046,0
1047,1
1048,0
1049,0
1050,1
1051,0
1052,1
1053,0
1054,1
1055,0
1056,1
1057,1
1058,1
1059,1
1060,0
1061,1
1062,1
1063,1
1064,0
1065,0
1066,0
1067,0
1068,0
1069,1
1070,1
1071,1
1072,1
1073,1
1074,1
1075,1
1076,0
1077,1
1078,0
1079,1
1080,1
1081,1
1082,1
1083,1
1084,0
1085,1
1086,1
1087,1
1088,1
1089,1
1090,1
1091,0
1092,1
1093,1
1094,1
1095,0
1096,0
1097,1
1098,0
1099,1
1100,0
1101,0
1102,1
1103,1
1104,1
1105,0
1106,1
1107,1
1108,1
1109,1
1110,0
1111,0
1112,0
1113,1
1114,1
1115,0
1116,0
1117,1
1118,1
1119,0
1120,0
1121,1
1122,1
1123,1
1124,1
1125,1
1126,0
1127,0
1128,0
1129,1
1130,1
1131,0
1132,1
1133,1
1134,1
1135,1
1136,1
1137,0
1138,1
1139,0
1140,0
1141,1
1142,1
1143,1
1144,0
1145,1
1146,0
1147,1
1148,0
1149,1
1150,1
1151,1
1152,0
1153,0
1154,1
1155,1
1156,1
1157,0
1158,1
1159,1
1160,1
1161,0
1162,1
1163,1
1164,0
1165,0
1166,0
1167,0
1168,0
1169,1
1170,1
1171,0
1172,0
1173,0
1174,1
1175,1
1176,0
1177,0
1178,1
1179,1
1180,1
1181,0
1182,0
1183,1
1184,1
1185,0
1186,1
1187,1
1188,1
1189,0
1190,0
1191,1
1192,0
1193,0
1194,0
1195,0
1196,0
1197,1
1198,0
1199,1
1200,1
1201,0
1202,0
1203,0
1204,1
1205,1
1206,1
1207,0
1208,1
1209,0
1210,0
1211,1
1212,0
1213,1
1214,0
1215,1
1216,1
1217,0
1218,1
1219,1
1220,1
1221,0
1222,0
1223,0
1224,0
1225,0
1226,1
1227,1
1228,0
1229,0
1230,1
