,Problem1
0,0
1,0
2,0
3,1
4,0
5,0
6,0
7,1
8,1
9,1
10,0
11,0
12,0
13,1
14,0
15,1
16,1
17,1
18,1
19,1
20,1
21,0
22,1
23,0
24,0
25,0
26,0
27,1
28,0
29,0
30,1
31,0
32,1
33,0
34,0
35,0
36,0
37,1
38,0
39,1
40,0
41,1
42,1
43,1
44,1
45,0
46,0
47,1
48,1
49,0
50,0
51,0
52,1
53,0
54,0
55,0
56,0
57,1
58,0
59,1
60,1
61,0
62,1
63,0
64,0
65,0
66,1
67,0
68,0
69,1
70,1
71,1
72,1
73,0
74,1
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,1
83,0
84,0
85,1
86,1
87,0
88,1
89,1
90,0
91,1
92,0
93,1
94,0
95,0
96,0
97,0
98,1
99,0
100,0
101,1
102,1
103,1
104,0
105,0
106,1
107,0
108,0
109,1
110,1
111,0
112,0
113,1
114,0
115,1
116,1
117,0
118,0
119,0
120,1
121,0
122,1
123,0
124,1
125,0
126,1
127,1
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,1
138,1
139,0
140,0
141,0
142,1
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,1
152,1
153,0
154,0
155,0
156,1
157,0
158,0
159,0
160,1
161,1
162,1
163,0
164,0
165,1
166,0
167,0
168,1
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,1
180,0
181,1
182,1
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,1
191,0
192,1
193,0
194,0
195,0
196,1
197,1
198,0
199,1
200,0
201,0
202,0
203,0
204,1
205,1
206,1
207,0
208,0
209,0
210,1
211,0
212,1
213,0
214,1
215,1
216,0
217,0
218,0
219,1
220,0
221,0
222,1
223,1
224,1
225,1
226,0
227,0
228,1
229,0
230,0
231,1
232,0
233,1
234,1
235,0
236,0
237,0
238,1
239,1
240,0
241,1
242,1
243,1
244,0
245,0
246,1
247,1
248,0
249,0
250,1
251,1
252,0
253,0
254,1
255,1
256,1
257,1
258,0
259,0
260,0
261,1
262,0
263,0
264,0
265,1
266,1
267,1
268,0
269,0
270,1
271,1
272,0
273,1
274,1
275,1
276,0
277,1
278,0
279,1
280,0
281,0
282,1
283,1
284,1
285,0
286,0
287,0
288,1
289,0
290,1
291,1
292,0
293,0
294,1
295,1
296,1
297,0
298,1
299,1
300,0
301,0
302,1
303,1
304,1
305,0
306,0
307,1
308,0
309,0
310,1
311,0
312,1
313,0
314,1
315,1
316,1
317,0
318,1
319,0
320,1
321,0
322,0
323,1
324,1
325,1
326,1
327,1
328,0
329,0
330,0
331,1
332,0
333,0
334,1
335,0
336,0
337,0
338,0
339,0
340,0
341,1
342,1
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,1
353,0
354,1
355,1
356,0
357,1
358,0
359,1
360,0
361,1
362,1
363,0
364,0
365,1
366,1
367,0
368,0
369,0
370,0
371,1
372,1
373,0
374,1
375,1
376,0
377,1
378,1
379,0
380,0
381,1
382,1
383,0
384,1
385,0
386,0
387,1
388,0
389,0
390,0
391,1
392,0
393,0
394,1
395,0
396,1
397,0
398,0
399,0
400,0
401,1
402,1
403,1
404,0
405,0
406,1
407,1
408,1
409,0
410,1
411,0
412,0
413,1
414,1
415,1
416,0
417,1
418,0
419,0
420,0
421,1
422,1
423,1
424,1
425,0
426,1
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,1
435,0
436,0
437,1
438,1
439,0
440,1
441,0
442,0
443,1
444,0
445,0
446,0
447,1
448,1
449,1
450,0
451,1
452,1
453,1
454,1
455,0
456,1
457,0
458,1
459,0
460,1
461,1
462,1
463,1
464,0
465,0
466,0
467,1
468,0
469,0
470,1
471,0
472,0
473,0
474,1
475,1
476,0
477,0
478,1
479,0
480,1
481,0
482,1
483,1
484,0
485,1
486,1
487,1
488,1
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,1
497,0
498,1
499,0
500,0
501,1
502,0
503,0
504,1
505,1
506,0
507,0
508,0
509,0
510,1
511,0
512,0
513,1
514,0
515,0
516,0
517,0
518,1
519,0
520,1
521,0
522,1
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,1
531,0
