,income
16090,<=50K
25223,<=50K
62,<=50K
4468,<=50K
25265,<=50K
27417,<=50K
10789,<=50K
7570,<=50K
19420,<=50K
11915,<=50K
40786,<=50K
30402,<=50K
8316,<=50K
5161,<=50K
12892,<=50K
43336,<=50K
19273,<=50K
44289,<=50K
2861,<=50K
30966,<=50K
24836,<=50K
37560,>50K
23021,<=50K
38602,<=50K
1301,<=50K
4006,>50K
34380,>50K
24701,>50K
19484,<=50K
659,>50K
8964,<=50K
46926,<=50K
29877,<=50K
2516,<=50K
37481,<=50K
38694,<=50K
226,<=50K
17331,>50K
19920,>50K
11785,>50K
21865,<=50K
786,<=50K
36957,<=50K
37888,<=50K
2675,<=50K
16656,>50K
19619,<=50K
23206,<=50K
17770,<=50K
39714,<=50K
20296,<=50K
36055,<=50K
34367,<=50K
10846,<=50K
639,>50K
16235,<=50K
32233,<=50K
31035,<=50K
18654,>50K
29724,>50K
45893,<=50K
18803,<=50K
18181,<=50K
25775,<=50K
19107,<=50K
10702,<=50K
48241,<=50K
17485,>50K
4236,<=50K
40480,<=50K
19866,>50K
17148,<=50K
24712,<=50K
3018,<=50K
31424,<=50K
45396,<=50K
41947,<=50K
14162,<=50K
43973,<=50K
37436,<=50K
38406,<=50K
13743,<=50K
45373,<=50K
24648,<=50K
32506,>50K
19584,<=50K
44754,<=50K
43739,<=50K
26391,<=50K
20627,<=50K
48216,<=50K
22665,>50K
12804,>50K
6343,<=50K
42412,>50K
38610,>50K
15589,<=50K
21106,<=50K
6392,>50K
6919,<=50K
