,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week
39090,64,Self-emp-not-inc,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,60
43803,63,State-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,40
40,31,Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,43
4435,40,?,Some-college,Divorced,?,Not-in-family,White,Female,30
5441,46,Private,5th-6th,Married-civ-spouse,Craft-repair,Wife,White,Female,45
21456,42,Private,Masters,Divorced,Tech-support,Unmarried,Black,Female,35
30385,47,Private,HS-grad,Divorced,Sales,Unmarried,White,Female,45
34465,57,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50
14648,65,State-gov,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40
35571,22,Private,Assoc-voc,Never-married,Handlers-cleaners,Not-in-family,White,Male,40
24625,42,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50
22533,48,Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40
15307,39,Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,White,Male,40
8086,31,Private,Assoc-voc,Divorced,Machine-op-inspct,Unmarried,White,Male,43
25732,64,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60
21471,40,Private,HS-grad,Never-married,Farming-fishing,Not-in-family,White,Male,55
37849,24,State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,20
11695,28,Federal-gov,Some-college,Never-married,Adm-clerical,Unmarried,Black,Female,40
2735,26,Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Male,40
17136,50,Private,Some-college,Married-civ-spouse,Protective-serv,Husband,Black,Male,70
40147,56,State-gov,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,40
48402,34,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,50
16874,48,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,40
19559,36,Federal-gov,Some-college,Never-married,Exec-managerial,Not-in-family,Black,Male,40
1217,33,?,HS-grad,Divorced,?,Not-in-family,Asian-Pac-Islander,Female,41
3943,49,Private,HS-grad,Never-married,Adm-clerical,Unmarried,White,Female,35
28205,29,Self-emp-not-inc,Masters,Married-civ-spouse,Craft-repair,Husband,White,Male,30
22625,25,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Black,Female,38
29118,31,Self-emp-inc,Some-college,Never-married,Exec-managerial,Own-child,White,Male,45
557,31,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,20
25250,36,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,40
46811,36,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Wife,Black,Female,40
43453,21,Private,HS-grad,Never-married,Other-service,Other-relative,White,Female,20
2326,37,Private,Some-college,Widowed,Craft-repair,Unmarried,White,Male,40
37147,32,State-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,38
35597,54,Private,7th-8th,Separated,Craft-repair,Not-in-family,White,Male,40
153,21,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,35
20714,49,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,50
26302,42,Private,9th,Married-civ-spouse,Transport-moving,Husband,White,Male,40
11818,36,State-gov,Masters,Divorced,Prof-specialty,Unmarried,White,Male,30
34950,22,Private,Some-college,Never-married,Protective-serv,Own-child,White,Male,40
699,19,Private,HS-grad,Never-married,Sales,Own-child,White,Female,20
40503,52,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,60
37616,44,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,48
2520,36,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,60
44317,34,Private,HS-grad,Never-married,Transport-moving,Own-child,Black,Male,40
20458,64,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,10
22274,38,Private,HS-grad,Divorced,Other-service,Not-in-family,White,Female,35
44241,30,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,45
11629,31,Private,9th,Never-married,Farming-fishing,Not-in-family,White,Male,40
12749,64,Local-gov,HS-grad,Divorced,Transport-moving,Unmarried,White,Male,20
21837,40,Self-emp-not-inc,Masters,Separated,Exec-managerial,Unmarried,White,Female,20
17225,49,Private,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,40
11091,49,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,44
550,46,Self-emp-not-inc,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,50
10177,60,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,50
43326,21,Private,Some-college,Never-married,Other-service,Own-child,White,Male,35
30867,32,Private,10th,Married-spouse-absent,Other-service,Not-in-family,Black,Female,37
24764,33,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,60
31832,30,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,68
22982,21,Private,Some-college,Never-married,Other-service,Own-child,White,Female,20
32712,27,Private,11th,Married-civ-spouse,Other-service,Wife,Black,Female,32
25066,26,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,40
36510,55,Private,HS-grad,Widowed,Tech-support,Not-in-family,White,Male,40
14452,49,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,40
7252,26,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,48
37133,32,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Black,Female,40
20725,39,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,62
4255,44,Private,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,45
19643,50,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,65
37789,55,Self-emp-inc,HS-grad,Divorced,Exec-managerial,Unmarried,White,Male,60
8289,42,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40
42379,49,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50
2904,31,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,50
11278,58,Private,10th,Divorced,Transport-moving,Not-in-family,Black,Male,50
23751,32,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Female,40
22246,28,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,32
14898,37,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,42
33675,61,Private,HS-grad,Widowed,Transport-moving,Unmarried,White,Female,40
44958,36,Self-emp-inc,Assoc-voc,Divorced,Exec-managerial,Not-in-family,White,Female,40
14875,25,Federal-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,Black,Male,40
7056,38,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Black,Male,40
29195,48,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Black,Female,16
39672,24,Self-emp-not-inc,9th,Married-civ-spouse,Craft-repair,Husband,White,Male,45
32160,23,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,20
35412,40,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50
44413,39,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,40
39113,37,Private,Assoc-acdm,Married-civ-spouse,Other-service,Husband,White,Male,47
12125,31,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40
43849,33,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Wife,White,Female,55
45329,34,Private,11th,Never-married,Craft-repair,Not-in-family,White,Female,30
5219,51,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,35
12875,37,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,40
30789,20,Private,HS-grad,Never-married,Protective-serv,Own-child,White,Male,40
7740,30,?,Bachelors,Never-married,?,Not-in-family,White,Female,40
40003,28,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,38
9251,52,Private,Bachelors,Divorced,Craft-repair,Unmarried,White,Male,25
38727,30,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40
27706,42,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,55
9345,49,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,45
