,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week
0,39,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,40
3,53,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40
4,28,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Black,Female,40
6,49,Private,9th,Married-spouse-absent,Other-service,Not-in-family,Black,Female,16
7,52,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,45
8,31,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,50
10,37,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,80
11,30,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40
12,23,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,30
13,32,Private,Assoc-acdm,Never-married,Sales,Not-in-family,Black,Male,50
14,40,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40
15,34,Private,7th-8th,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,45
17,32,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,Male,40
18,38,Private,11th,Married-civ-spouse,Sales,Husband,White,Male,50
19,43,Self-emp-not-inc,Masters,Divorced,Exec-managerial,Unmarried,White,Female,45
21,54,Private,HS-grad,Separated,Other-service,Unmarried,Black,Female,20
22,35,Federal-gov,9th,Married-civ-spouse,Farming-fishing,Husband,Black,Male,40
23,43,Private,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,40
24,59,Private,HS-grad,Divorced,Tech-support,Unmarried,White,Female,40
25,56,Local-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,40
26,19,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,40
28,39,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,80
29,49,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40
30,23,Local-gov,Assoc-acdm,Never-married,Protective-serv,Not-in-family,White,Male,52
31,20,Private,Some-college,Never-married,Sales,Own-child,Black,Male,44
32,45,Private,Bachelors,Divorced,Exec-managerial,Own-child,White,Male,40
33,30,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Own-child,White,Male,40
34,22,State-gov,Some-college,Married-civ-spouse,Other-service,Husband,Black,Male,15
35,48,Private,11th,Never-married,Machine-op-inspct,Unmarried,White,Male,40
36,21,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,40
37,19,Private,HS-grad,Married-AF-spouse,Adm-clerical,Wife,White,Female,25
39,48,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,40
40,31,Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,43
41,53,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40
42,24,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,50
43,49,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,40
44,25,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,35
45,57,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Black,Male,40
48,41,State-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40
49,29,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Male,43
50,25,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,Other,Female,40
51,18,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,30
52,47,Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,60
53,50,Federal-gov,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,55
54,47,Self-emp-inc,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,60
55,43,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,40
58,41,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,48
59,30,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40
60,30,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40
61,32,?,7th-8th,Married-spouse-absent,?,Not-in-family,White,Male,40
62,48,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40
63,42,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,45
