,class
0,Good
2,Good
3,Good
4,Bad
6,Good
7,Good
9,Bad
10,Bad
11,Bad
12,Good
13,Bad
15,Bad
16,Good
17,Good
18,Bad
19,Good
20,Good
21,Good
22,Good
23,Good
24,Good
25,Good
26,Good
28,Good
29,Bad
32,Good
33,Good
35,Bad
36,Good
37,Bad
38,Good
39,Good
40,Good
41,Good
42,Good
43,Good
44,Bad
46,Good
47,Good
48,Good
49,Good
50,Good
51,Good
52,Good
53,Good
56,Bad
57,Good
58,Good
59,Bad
61,Good
62,Bad
63,Bad
64,Good
66,Good
67,Good
68,Bad
69,Good
70,Good
71,Good
72,Good
73,Good
74,Bad
75,Good
76,Bad
78,Good
79,Good
80,Bad
81,Good
82,Good
83,Good
84,Good
85,Good
86,Good
87,Bad
88,Good
89,Bad
90,Good
91,Good
92,Bad
93,Good
94,Good
95,Bad
96,Good
98,Good
99,Good
100,Good
102,Good
104,Good
105,Bad
106,Bad
107,Good
109,Good
110,Good
111,Good
112,Good
113,Bad
114,Good
115,Good
116,Bad
117,Good
118,Bad
119,Good
120,Bad
121,Good
123,Good
124,Bad
125,Good
126,Good
127,Bad
128,Good
129,Bad
130,Good
131,Bad
132,Good
133,Good
134,Good
135,Good
136,Good
137,Bad
138,Good
139,Good
140,Good
143,Bad
146,Good
147,Good
148,Good
149,Good
151,Good
152,Good
153,Good
154,Good
155,Bad
156,Good
157,Good
158,Good
159,Good
160,Good
161,Good
162,Good
163,Good
164,Good
165,Good
166,Bad
167,Good
168,Good
169,Bad
170,Bad
171,Good
172,Bad
173,Good
174,Bad
176,Good
177,Good
178,Good
179,Good
180,Bad
181,Bad
182,Bad
183,Good
184,Bad
185,Good
186,Bad
187,Good
188,Bad
189,Good
190,Bad
191,Bad
192,Bad
193,Good
194,Bad
195,Bad
197,Bad
198,Good
199,Bad
200,Good
201,Good
203,Bad
205,Good
206,Good
207,Good
208,Good
209,Good
210,Good
211,Good
212,Bad
213,Bad
216,Good
217,Good
218,Good
219,Good
220,Good
221,Good
222,Good
223,Good
224,Good
225,Good
226,Bad
227,Bad
228,Bad
229,Good
232,Good
233,Good
234,Good
235,Bad
237,Bad
238,Good
241,Good
242,Bad
243,Good
244,Good
245,Good
246,Good
248,Good
250,Good
253,Good
254,Good
256,Good
257,Bad
258,Good
259,Good
260,Good
263,Good
265,Bad
266,Good
268,Bad
269,Good
273,Bad
274,Bad
275,Good
276,Good
277,Good
280,Good
281,Good
282,Good
284,Good
285,Good
286,Good
287,Good
288,Good
289,Bad
290,Good
291,Bad
292,Good
293,Good
294,Good
296,Good
297,Good
300,Good
301,Bad
302,Bad
303,Good
304,Bad
305,Good
307,Bad
308,Bad
309,Good
313,Bad
314,Good
318,Good
321,Bad
322,Good
323,Good
324,Good
325,Good
326,Good
327,Good
328,Good
329,Good
330,Good
332,Bad
333,Bad
334,Bad
335,Bad
336,Good
337,Bad
338,Good
339,Good
340,Good
341,Good
342,Good
343,Good
344,Good
345,Good
346,Good
347,Good
348,Good
349,Bad
350,Good
352,Good
353,Bad
354,Good
355,Bad
356,Good
357,Bad
358,Good
359,Bad
360,Good
361,Good
363,Good
364,Bad
365,Good
368,Bad
369,Good
370,Good
371,Good
373,Good
374,Bad
375,Bad
376,Good
377,Good
379,Good
380,Good
381,Bad
383,Good
387,Good
388,Good
390,Good
391,Good
392,Good
393,Good
394,Good
396,Good
397,Good
398,Bad
399,Good
400,Good
401,Good
402,Bad
404,Good
405,Bad
406,Good
407,Good
409,Bad
410,Good
411,Good
414,Bad
415,Good
416,Bad
417,Good
419,Bad
420,Good
421,Good
422,Good
423,Good
425,Good
426,Good
427,Good
428,Good
429,Bad
430,Good
431,Bad
433,Good
434,Good
436,Good
437,Good
438,Good
439,Bad
440,Good
441,Good
442,Good
443,Bad
444,Bad
445,Good
446,Bad
447,Good
448,Good
449,Bad
450,Good
451,Good
453,Good
454,Bad
455,Good
459,Good
460,Good
461,Good
462,Good
463,Good
464,Good
465,Good
468,Good
469,Good
470,Bad
471,Bad
472,Bad
473,Good
474,Bad
475,Bad
476,Good
477,Good
478,Good
479,Good
480,Good
482,Good
484,Good
486,Good
487,Good
488,Good
490,Good
491,Bad
493,Good
498,Good
499,Good
500,Bad
502,Good
503,Bad
504,Bad
505,Bad
506,Good
507,Bad
508,Good
509,Good
510,Bad
511,Good
512,Good
514,Good
515,Good
516,Good
517,Bad
518,Good
519,Good
521,Bad
522,Bad
524,Good
525,Good
526,Good
527,Good
528,Bad
530,Good
532,Good
533,Good
534,Good
535,Bad
536,Good
537,Good
538,Bad
539,Good
540,Bad
541,Good
542,Bad
543,Bad
544,Good
546,Good
547,Good
548,Bad
549,Good
550,Good
551,Good
552,Bad
554,Good
555,Bad
556,Bad
557,Bad
559,Bad
560,Good
561,Bad
562,Good
563,Bad
564,Good
565,Good
566,Bad
567,Good
570,Bad
571,Good
572,Good
573,Good
574,Good
575,Good
577,Good
579,Good
581,Good
584,Good
585,Bad
586,Good
588,Bad
589,Bad
590,Good
591,Good
592,Good
593,Bad
594,Bad
595,Bad
597,Bad
598,Bad
599,Good
600,Good
602,Bad
603,Bad
604,Good
605,Good
606,Good
607,Bad
609,Good
610,Bad
611,Bad
612,Good
613,Good
616,Good
617,Good
618,Bad
619,Good
620,Good
621,Bad
622,Bad
623,Good
625,Good
626,Good
627,Bad
628,Good
629,Good
631,Bad
632,Good
633,Bad
634,Bad
637,Good
639,Bad
640,Bad
641,Good
642,Bad
645,Bad
646,Good
647,Bad
649,Bad
650,Good
651,Bad
652,Bad
655,Good
656,Bad
657,Good
658,Good
659,Good
660,Good
661,Bad
662,Good
663,Good
664,Good
665,Good
667,Good
668,Bad
669,Good
670,Good
671,Good
673,Good
674,Bad
675,Good
676,Good
677,Bad
678,Good
680,Good
681,Good
682,Good
683,Good
684,Good
685,Good
686,Good
687,Good
689,Good
690,Good
691,Good
692,Good
694,Good
695,Good
696,Good
697,Good
699,Good
700,Bad
701,Bad
702,Good
703,Good
704,Good
705,Good
707,Bad
708,Good
709,Good
711,Bad
712,Good
714,Bad
715,Good
716,Good
718,Good
719,Good
720,Bad
721,Bad
723,Good
724,Bad
725,Good
726,Good
727,Bad
728,Bad
729,Good
730,Good
731,Bad
732,Good
733,Good
734,Good
735,Good
737,Good
739,Bad
741,Good
742,Good
743,Good
744,Good
745,Good
746,Good
747,Bad
748,Good
749,Good
750,Good
752,Good
754,Bad
