,class
104,Good
820,Good
532,Good
482,Good
851,Good
885,Bad
22,Good
692,Good
89,Bad
732,Good
339,Good
625,Good
877,Good
737,Good
404,Good
51,Good
173,Good
634,Bad
190,Bad
390,Good
887,Bad
691,Good
223,Good
761,Bad
334,Bad
618,Bad
858,Bad
892,Good
613,Good
220,Good
100,Good
268,Bad
721,Bad
549,Good
125,Good
912,Good
632,Good
15,Bad
417,Good
530,Good
647,Bad
355,Bad
135,Good
564,Good
813,Bad
344,Good
56,Bad
391,Good
597,Bad
685,Good
374,Bad
619,Good
891,Good
476,Good
708,Good
132,Good
161,Good
762,Good
208,Good
302,Bad
640,Bad
475,Bad
878,Bad
107,Good
733,Good
454,Bad
259,Good
781,Good
238,Good
427,Good
671,Good
451,Good
661,Bad
499,Good
689,Good
441,Good
542,Bad
92,Bad
137,Bad
681,Good
907,Good
224,Good
664,Good
967,Good
533,Good
343,Good
6,Good
327,Good
656,Bad
985,Good
218,Good
66,Good
951,Bad
379,Good
970,Good
855,Good
831,Bad
626,Good
460,Good
561,Bad
