,SeriousDlqin2yrs
84963,1
946,0
82600,0
72218,0
83423,0
64778,0
148890,0
65181,0
74833,0
40230,0
38745,1
82275,0
79774,0
125444,0
119892,0
117605,0
102713,0
6316,0
58904,0
44436,0
50846,0
63656,1
120307,0
80611,0
89118,0
14404,0
124265,0
16286,0
82309,0
8645,0
2035,0
72982,0
76496,0
44662,0
50532,0
137308,0
128978,0
147557,0
30505,1
149183,0
45461,0
49871,0
87324,0
22430,0
41705,1
42514,0
42314,0
100014,0
62070,0
53106,0
73507,0
15776,0
5050,1
5599,0
61243,0
2789,0
74314,0
92594,0
63076,0
107511,0
133578,0
17995,1
49282,0
59298,0
112525,0
11722,0
128566,0
137887,0
55582,0
98358,0
67982,0
35580,0
131989,1
32031,0
143456,0
124848,0
53124,0
111170,0
10707,0
32545,0
83291,0
46003,0
11702,0
117976,0
114960,0
97662,0
147381,1
63959,0
82500,0
61823,0
129393,0
104212,0
113367,0
8236,0
63738,0
54021,0
76046,0
15471,0
5173,0
11927,0
