,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
84862,0.669055869,51,0,0.792974299,7742.0,12,0,4,0,1.0
1074,0.220201834,34,0,0.462354974,4050.0,10,0,2,0,1.0
82236,0.0,67,0,0.121626125,3000.0,3,0,0,0,0.0
71298,0.62321256,49,1,0.383282229,7500.0,11,0,2,0,0.0
83203,0.012093111,57,0,0.722441463,3800.0,20,0,2,0,0.0
64626,0.085241707,64,0,0.267782148,15000.0,18,0,1,0,2.0
148821,0.212034966,53,0,0.033744727,6400.0,9,0,1,0,0.0
65126,0.092838387,39,0,0.378180151,8725.0,11,0,3,0,1.0
73934,0.01856419,67,0,0.319872051,2500.0,7,0,1,0,0.0
39793,0.006428189,30,0,0.468850541,6837.0,5,0,2,0,0.0
38475,0.216646034,54,0,0.261828645,9383.0,8,0,4,0,2.0
81882,0.010729157,44,0,0.180666037,7416.0,7,0,2,0,3.0
79046,0.75384923,62,0,0.317101858,4250.0,6,0,0,0,0.0
124902,0.099106793,71,0,0.253336455,4270.0,4,0,1,0,0.0
119620,0.265911333,51,0,0.592447552,3574.0,9,0,2,0,3.0
117353,0.003838586,81,0,0.074975008,3000.0,9,0,1,0,0.0
102204,0.122848822,76,0,0.096874393,5150.0,8,0,1,0,1.0
6790,0.087440801,53,0,0.483258473,9795.0,19,0,3,0,0.0
58568,0.267695165,69,0,0.085320455,9938.0,3,0,0,0,0.0
44387,0.40554587,48,0,0.222036942,7795.0,7,0,0,0,1.0
50580,0.07579269,51,0,0.363348248,5363.0,10,0,1,0,0.0
63505,0.002041981,48,0,0.000333222,3000.0,7,0,0,0,1.0
120046,0.081839858,27,0,0.1976008,3000.0,7,0,0,0,0.0
79958,0.454195995,38,0,0.356366797,2300.0,10,0,0,0,0.0
88771,0.184848341,46,0,0.419458054,10000.0,5,0,1,0,1.0
14889,0.874022007,33,0,0.269940013,4500.0,6,0,0,0,3.0
123875,0.300706504,56,0,0.384460901,7966.0,8,0,1,0,1.0
17132,0.015615753,58,0,0.182563487,5000.0,17,0,1,0,0.0
81941,0.020979021,25,1,0.244958678,3024.0,5,3,0,3,3.0
8871,0.176202,57,0,0.718774548,2545.0,7,0,1,0,0.0
2057,0.238829674,56,1,0.259947774,16083.0,25,0,2,1,0.0
71953,0.9999999,44,0,0.117838638,6754.0,1,1,0,1,0.0
75886,0.140664049,42,0,0.329747774,2695.0,3,2,1,0,1.0
44636,0.238220222,46,0,0.152889539,4100.0,2,0,0,0,0.0
50225,0.384931859,59,1,1.32979664,1130.0,8,0,1,0,0.0
136972,0.00215378,69,1,0.345187002,1630.0,12,0,1,0,0.0
128421,0.653328521,45,1,0.2882494,6254.0,8,0,0,0,2.0
147426,0.441459025,35,0,0.348012582,3496.0,11,0,1,0,1.0
30696,0.373404485,39,0,0.251612903,5114.0,8,0,0,0,0.0
149139,0.029177082,43,0,0.525483117,9417.0,10,0,2,0,2.0
45403,0.058378172,24,0,0.014888337,2417.0,4,0,0,0,0.0
49621,0.906002725,70,0,0.726560389,3700.0,11,2,2,0,0.0
86866,0.712613272,55,0,0.591993037,5744.0,11,0,1,0,0.0
23314,0.0,41,0,1.348682218,3300.0,11,0,1,0,3.0
41089,0.079293011,69,0,0.203197868,1500.0,2,0,0,0,0.0
42097,0.400644885,47,0,0.101305042,10650.0,10,0,1,1,1.0
41776,0.017199471,67,0,0.432567433,1000.0,7,0,1,0,0.0
99438,0.022810683,32,0,0.279675097,5416.0,8,0,1,0,0.0
61927,0.031904415,39,0,0.373311428,5477.0,5,0,1,0,3.0
52898,0.396785535,44,2,0.818804319,3796.0,11,0,1,0,1.0
72475,0.711333226,54,0,0.300587427,8000.0,24,0,1,1,0.0
16714,0.014597081,44,1,0.032527528,7900.0,3,0,0,0,0.0
5398,0.026349341,38,0,0.099127006,3550.0,11,0,0,0,0.0
5974,0.00133353,53,0,0.512688574,8550.0,24,0,5,1,0.0
61128,0.316872259,49,0,0.305375838,8500.0,6,0,2,0,2.0
2917,0.542161672,51,1,0.093229216,10500.0,11,0,0,0,0.0
73409,0.011150379,68,0,0.228885242,7920.0,14,0,1,0,0.0
91968,0.030540813,61,0,0.00999863,7300.0,14,0,0,0,2.0
62921,0.327102804,65,4,0.225954809,5000.0,6,0,1,1,0.0
107174,0.00234245,45,0,1.027992535,3750.0,6,0,1,0,2.0
133246,0.032713702,56,2,0.141318839,9750.0,7,0,1,0,0.0
18782,0.117611469,72,0,0.341841187,4583.0,7,0,0,0,0.0
49117,0.780405595,57,0,0.776832955,10583.0,18,0,9,0,0.0
58970,0.060036401,45,0,0.497789939,4750.0,6,0,1,0,2.0
112387,0.19999525,58,1,0.625611572,4700.0,11,0,1,0,0.0
12330,0.930166778,43,1,0.622534065,4916.0,7,0,1,0,0.0
128095,0.01802654,65,0,0.132380216,12939.0,7,0,1,0,2.0
137403,0.072853674,84,0,0.017301038,2600.0,4,0,0,0,1.0
55330,0.099204794,48,0,0.177431515,3978.0,8,0,1,0,0.0
97879,0.01319934,65,0,0.05120206,40388.0,6,0,1,0,0.0
67518,0.360929776,54,0,0.460293752,4016.0,5,0,1,0,2.0
35552,0.010220166,65,0,0.257926307,3500.0,9,0,1,0,1.0
131583,0.04006577,36,0,0.324100719,2779.0,8,0,0,0,1.0
32079,0.154547636,58,0,0.265306122,2057.0,7,0,0,0,0.0
143309,0.806250618,39,2,0.238185855,3152.0,3,0,0,0,0.0
124393,0.114633914,50,0,0.403206966,9416.0,39,0,1,0,3.0
52916,0.35618407,55,0,0.531713244,4114.0,11,0,1,0,0.0
110798,0.002879885,30,0,0.234848485,18083.0,12,0,5,0,0.0
11190,0.351443124,32,0,0.636363636,9250.0,5,0,2,0,1.0
32528,0.2073585,33,0,0.249356381,2718.0,5,0,0,0,0.0
82985,0.404649235,63,0,0.251187203,4000.0,5,0,1,0,0.0
45870,0.056074302,66,0,0.297929073,11250.0,19,0,3,0,0.0
