,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week
38951,57,State-gov,Some-college,Widowed,Sales,Not-in-family,White,Female,40
43905,31,Private,Some-college,Married-civ-spouse,Other-service,Other-relative,Asian-Pac-Islander,Male,30
48,41,State-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40
4380,35,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,70
5439,33,Private,HS-grad,Divorced,Adm-clerical,Own-child,White,Male,40
21736,29,Private,HS-grad,Never-married,Other-service,Other-relative,White,Female,40
30573,34,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,45
34265,41,Self-emp-not-inc,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,40
15109,53,Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40
35284,63,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,37
24933,65,Self-emp-inc,11th,Married-civ-spouse,Exec-managerial,Husband,White,Male,35
22856,60,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,47
15734,51,Federal-gov,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,40
8264,49,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,60
26125,32,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,40
21801,45,Private,Some-college,Divorced,Sales,Not-in-family,White,Male,40
37800,60,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40
11804,42,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,32
2829,36,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,60
17497,52,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40
40069,34,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,40
48306,22,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,40
17266,34,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Female,20
19839,23,Private,HS-grad,Never-married,Protective-serv,Own-child,Amer-Indian-Eskimo,Male,40
1205,61,Self-emp-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,40
3851,22,?,Some-college,Never-married,?,Own-child,White,Male,40
28273,28,Federal-gov,HS-grad,Never-married,Exec-managerial,Unmarried,White,Female,70
