,income
39090,<=50K
43803,>50K
40,<=50K
4435,<=50K
5441,<=50K
21456,>50K
30385,<=50K
34465,>50K
14648,>50K
35571,<=50K
24625,>50K
22533,<=50K
15307,<=50K
8086,<=50K
25732,>50K
21471,<=50K
37849,<=50K
11695,<=50K
2735,<=50K
17136,>50K
40147,<=50K
48402,>50K
16874,>50K
19559,>50K
1217,<=50K
3943,<=50K
28205,<=50K
22625,<=50K
29118,<=50K
557,<=50K
25250,>50K
46811,<=50K
43453,<=50K
2326,<=50K
37147,>50K
35597,<=50K
153,<=50K
20714,<=50K
26302,<=50K
11818,<=50K
34950,<=50K
699,<=50K
40503,<=50K
37616,<=50K
2520,>50K
44317,<=50K
20458,<=50K
22274,<=50K
44241,<=50K
11629,<=50K
12749,<=50K
21837,<=50K
17225,<=50K
11091,>50K
550,<=50K
10177,>50K
43326,<=50K
30867,<=50K
24764,<=50K
31832,<=50K
22982,<=50K
32712,<=50K
25066,<=50K
36510,<=50K
14452,>50K
7252,<=50K
37133,<=50K
20725,>50K
4255,>50K
19643,>50K
37789,>50K
8289,<=50K
42379,>50K
2904,<=50K
11278,<=50K
23751,<=50K
22246,>50K
14898,<=50K
33675,<=50K
44958,<=50K
14875,<=50K
7056,<=50K
29195,<=50K
39672,<=50K
32160,<=50K
35412,>50K
44413,<=50K
39113,<=50K
12125,<=50K
43849,>50K
45329,<=50K
5219,<=50K
12875,>50K
30789,<=50K
7740,<=50K
40003,<=50K
9251,<=50K
38727,>50K
27706,<=50K
9345,>50K
