,class
111,Good
879,Good
570,Bad
534,Good
903,Good
928,Good
29,Bad
743,Good
73,Good
776,Good
336,Good
663,Good
917,Bad
793,Good
445,Good
44,Bad
176,Good
674,Bad
199,Bad
421,Good
931,Bad
735,Good
232,Good
824,Good
329,Good
657,Good
914,Bad
937,Good
655,Good
228,Bad
106,Bad
290,Good
771,Bad
584,Good
121,Good
955,Good
673,Good
25,Good
455,Good
563,Bad
694,Good
349,Bad
146,Good
591,Good
866,Good
341,Good
59,Bad
426,Good
628,Good
728,Bad
394,Good
662,Good
933,Good
525,Good
764,Good
136,Good
164,Good
828,Bad
216,Good
297,Good
678,Good
517,Bad
925,Bad
114,Good
787,Good
507,Bad
289,Bad
839,Good
282,Good
469,Good
716,Good
498,Good
712,Good
540,Bad
730,Good
490,Good
575,Good
88,Good
149,Good
726,Good
953,Bad
234,Good
715,Good
977,Good
573,Good
340,Good
16,Good
326,Good
703,Good
981,Bad
221,Good
67,Good
974,Good
414,Bad
978,Bad
911,Bad
893,Good
665,Good
508,Good
586,Good
