,class
0,Good
1,Bad
2,Good
3,Good
5,Good
6,Good
7,Good
8,Good
9,Bad
10,Bad
11,Bad
12,Good
14,Good
15,Bad
17,Good
18,Bad
19,Good
20,Good
21,Good
22,Good
23,Good
26,Good
27,Good
28,Good
30,Good
31,Good
32,Good
34,Good
35,Bad
36,Good
37,Bad
38,Good
39,Good
40,Good
41,Good
42,Good
43,Good
45,Good
46,Good
47,Good
48,Good
49,Good
50,Good
51,Good
52,Good
53,Good
54,Bad
55,Good
56,Bad
57,Good
58,Good
60,Good
62,Bad
63,Bad
64,Good
65,Good
66,Good
68,Bad
70,Good
71,Good
72,Good
74,Bad
75,Good
76,Bad
77,Good
78,Good
79,Good
80,Bad
81,Good
82,Good
84,Good
85,Good
86,Good
87,Bad
89,Bad
90,Good
91,Good
92,Bad
94,Good
95,Bad
96,Good
97,Good
98,Good
99,Good
100,Good
101,Good
102,Good
103,Good
104,Good
105,Bad
107,Good
108,Good
109,Good
112,Good
113,Bad
115,Good
116,Bad
118,Bad
119,Good
122,Good
123,Good
124,Bad
125,Good
126,Good
127,Bad
128,Good
130,Good
131,Bad
132,Good
133,Good
134,Good
135,Good
137,Bad
139,Good
140,Good
141,Good
142,Good
143,Bad
144,Good
145,Good
147,Good
148,Good
150,Good
151,Good
152,Good
153,Good
154,Good
155,Bad
156,Good
157,Good
158,Good
159,Good
161,Good
162,Good
165,Good
167,Good
169,Bad
170,Bad
171,Good
172,Bad
173,Good
174,Bad
175,Bad
177,Good
178,Good
179,Good
180,Bad
181,Bad
182,Bad
183,Good
184,Bad
185,Good
186,Bad
187,Good
188,Bad
190,Bad
192,Bad
193,Good
194,Bad
196,Good
197,Bad
198,Good
200,Good
201,Good
202,Good
203,Bad
204,Good
205,Good
206,Good
208,Good
209,Good
210,Good
211,Good
213,Bad
214,Good
215,Good
218,Good
220,Good
222,Good
223,Good
224,Good
225,Good
226,Bad
227,Bad
229,Good
230,Bad
231,Good
233,Good
235,Bad
236,Bad
237,Bad
238,Good
239,Good
240,Bad
241,Good
242,Bad
243,Good
244,Good
245,Good
246,Good
247,Good
248,Good
249,Bad
250,Good
251,Good
252,Bad
253,Good
255,Good
256,Good
257,Bad
258,Good
259,Good
260,Good
261,Good
262,Good
263,Good
264,Good
265,Bad
266,Good
267,Good
268,Bad
269,Good
270,Good
271,Good
272,Good
273,Bad
275,Good
277,Good
278,Bad
279,Good
280,Good
283,Good
285,Good
286,Good
288,Good
291,Bad
292,Good
293,Good
294,Good
295,Bad
296,Good
298,Good
299,Good
301,Bad
302,Bad
303,Good
304,Bad
305,Good
306,Good
307,Bad
308,Bad
309,Good
310,Good
311,Good
312,Good
313,Bad
314,Good
315,Bad
316,Good
317,Good
318,Good
319,Good
320,Bad
