,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
84963,0.415413129,53,7,0.524423963,5424.0,18,0,2,1,4.0
946,0.072587125,29,0,0.046662778,12000.0,15,0,0,0,0.0
82600,0.039689307,47,0,0.417930345,6000.0,15,0,2,0,2.0
72218,0.9999999,49,1,1.117339529,3442.0,5,0,1,0,2.0
83423,0.167746132,64,0,0.234430698,4768.0,10,0,1,0,0.0
64778,0.375024038,58,0,0.259630776,9370.0,11,0,2,0,1.0
148890,0.9999999,84,1,0.005919053,6250.0,6,0,0,0,0.0
65181,0.001949903,58,0,0.591449695,3110.0,4,0,1,0,0.0
74833,0.0,56,0,0.733152828,3323.0,12,0,1,0,1.0
40230,0.045210191,38,0,0.554259529,4800.0,14,0,2,0,2.0
38745,0.9999999,29,0,0.182563542,3658.0,7,5,0,0,0.0
82275,0.051891918,66,0,0.184321045,15000.0,13,0,1,0,0.0
79774,0.57485276,26,0,0.067126875,4200.0,7,0,0,0,2.0
125444,0.052312988,45,0,0.090988626,8000.0,6,0,0,0,2.0
119892,0.0,37,0,0.628008753,2741.0,9,0,1,0,0.0
117605,0.023015685,59,0,0.401679916,6666.0,8,0,1,0,1.0
102713,0.205680549,42,0,0.077820363,6000.0,3,0,0,0,0.0
6316,0.0,76,0,1.146810146,1300.0,6,0,1,0,0.0
58904,0.9999999,27,0,0.295114007,1534.0,5,0,0,0,0.0
44436,0.019153064,63,0,0.219169593,4840.0,13,0,1,0,2.0
50846,0.54476536,66,0,0.396265255,6800.0,7,0,1,0,0.0
63656,0.641829559,85,0,0.669018225,1700.0,6,0,1,0,0.0
120307,0.022433807,48,0,0.439140215,4000.0,3,0,1,0,1.0
80611,0.180104655,34,0,0.076153974,6000.0,4,0,0,0,0.0
89118,0.005028428,84,0,0.125416204,1801.0,7,0,0,0,0.0
14404,0.603198401,26,0,0.023984011,1500.0,1,0,0,0,0.0
124265,0.297870063,49,0,0.711168639,8111.0,16,0,4,0,2.0
16286,0.879725588,47,1,0.076389815,7500.0,19,0,0,1,2.0
82309,0.161503339,63,0,0.206827596,7000.0,11,0,2,0,0.0
8645,0.272192336,84,0,0.453494482,1902.0,17,0,0,0,0.0
2035,0.971792188,52,0,0.76123817,5071.0,15,0,1,0,1.0
72982,0.409341834,82,0,1.676931388,1850.0,7,0,1,0,0.0
76496,0.030998708,32,0,0.417758907,5416.0,7,0,2,0,2.0
44662,0.944222232,52,1,0.734737403,3750.0,6,0,1,0,3.0
50532,0.331381231,25,0,0.87454324,820.0,5,0,0,0,0.0
137308,0.9999999,51,0,0.059607743,7800.0,3,1,0,0,2.0
128978,0.843216432,56,1,0.448474624,7112.0,15,1,3,0,1.0
147557,0.184060497,55,1,0.664699757,2880.0,13,0,2,0,0.0
30505,0.04479888,62,0,0.630415026,3300.0,6,0,2,0,0.0
149183,0.36963037,21,0,0.010989011,1000.0,1,0,0,0,0.0
45461,0.9999999,58,0,0.172009652,2900.0,3,1,0,0,0.0
49871,0.089662397,54,1,1.074288471,2072.0,10,0,1,0,1.0
87324,0.037495168,52,0,0.248490599,11593.0,7,0,1,0,0.0
22430,0.630247603,60,0,1.364513018,3110.0,14,0,2,0,0.0
41705,0.402410463,53,2,0.362909273,4000.0,15,0,2,1,0.0
42514,0.033530488,84,0,0.003098155,7100.0,3,0,0,0,0.0
42314,0.051442756,54,0,0.147387447,6085.0,6,0,0,0,0.0
100014,0.9999999,32,0,0.0,1862.0,1,1,0,0,0.0
62070,0.173965207,33,0,0.822483841,4331.0,7,0,3,0,0.0
53106,0.0,65,0,0.23951486,10800.0,5,0,2,1,0.0
73507,0.0,50,0,0.238482966,14000.0,11,0,2,0,0.0
15776,0.435702234,41,1,0.195222784,6530.0,8,0,0,0,1.0
5050,0.77279919,46,0,0.251651559,6508.0,11,0,0,0,0.0
5599,0.107912429,31,0,0.089986569,6700.0,7,0,0,0,0.0
61243,0.834149735,42,0,0.653276259,12147.0,12,0,5,0,0.0
2789,0.086477467,52,0,0.09239472,17500.0,14,0,1,0,2.0
74314,0.66474682,27,0,0.095444238,4850.0,7,0,0,0,0.0
92594,0.010873313,67,0,0.003499125,4000.0,3,0,0,0,0.0
63076,0.698129485,57,0,0.484748348,3933.0,12,0,1,0,1.0
107511,0.002854494,51,1,0.367784747,11000.0,10,0,2,0,2.0
133578,0.190323752,59,0,0.195721262,12900.0,6,0,2,0,0.0
17995,0.771544784,51,1,0.344646714,3240.0,6,0,0,0,0.0
49282,0.001981445,79,0,0.078927055,5181.0,5,0,0,0,0.0
59298,0.107606437,51,0,0.347138154,9416.0,9,0,2,0,0.0
112525,0.166941329,56,0,0.263096495,18000.0,10,0,3,0,2.0
11722,0.199945737,53,0,0.403449569,8000.0,13,0,1,0,1.0
128566,0.390155348,29,0,0.222636044,9665.0,8,0,2,0,1.0
137887,0.022089823,90,0,0.004748813,4000.0,3,0,0,0,0.0
55582,0.373002709,53,0,0.106959205,8750.0,5,0,0,1,0.0
98358,0.0,77,0,0.252111249,8880.0,6,0,1,0,0.0
67982,0.055203492,29,0,0.646772229,820.0,7,0,0,0,0.0
35580,0.202818492,46,0,0.422874342,7973.0,10,0,2,1,2.0
131989,0.889311069,57,0,0.273562537,6747.0,5,1,1,0,1.0
32031,0.280977312,35,1,0.128459446,6250.0,11,0,0,0,0.0
143456,0.033984111,58,0,0.225456065,7180.0,6,0,1,0,0.0
124848,0.151942111,74,0,0.073982125,12083.0,22,0,0,0,0.0
53124,0.0,41,2,0.283318359,10016.0,5,0,2,0,2.0
111170,0.146561037,56,0,0.556746679,4290.0,6,0,3,0,0.0
10707,0.300569947,37,0,1.040480635,8571.0,15,0,3,0,0.0
32545,0.057275051,79,0,0.33051313,9100.0,11,0,3,0,0.0
83291,0.033848344,64,0,0.186962607,5000.0,10,0,1,0,0.0
46003,0.047552722,61,0,0.263091641,3971.0,7,0,2,0,2.0
11702,0.048937911,61,0,0.00959808,5000.0,2,0,0,0,0.0
117976,0.105507098,31,0,0.209516194,2500.0,8,0,0,0,0.0
114960,0.663880275,51,0,0.255509784,9709.0,7,0,1,0,1.0
97662,0.019092014,63,0,0.024457776,6500.0,7,0,0,0,0.0
147381,0.958178654,56,0,0.349662584,4000.0,9,0,0,0,1.0
63959,0.041265769,45,0,0.388534425,10500.0,8,0,2,0,2.0
82500,0.093584137,46,0,0.045045045,1442.0,5,0,0,0,3.0
61823,0.159669046,37,1,0.244060475,12500.0,6,0,1,0,2.0
129393,0.487091199,72,0,0.619088937,9219.0,12,0,2,0,1.0
104212,0.038768825,49,0,0.018041237,3879.0,11,0,0,0,0.0
113367,0.084791069,52,1,0.153040331,21000.0,9,1,2,2,2.0
8236,0.111996204,72,0,0.543966152,5435.0,10,0,2,0,0.0
63738,0.131834727,67,0,1.883246701,2500.0,5,0,3,0,1.0
54021,0.364589007,55,0,0.263429943,5416.0,9,0,1,1,0.0
76046,0.030871605,37,0,0.35378095,8965.0,7,0,2,0,1.0
15471,0.118732956,49,0,0.096761295,2500.0,4,0,1,0,0.0
5173,0.016516643,72,0,0.621056363,2820.0,11,0,2,0,0.0
11927,0.077120875,73,0,0.077188146,1450.0,11,0,0,0,0.0
