,SeriousDlqin2yrs
84862,0
1074,0
82236,0
71298,0
83203,0
64626,0
148821,0
65126,1
73934,0
39793,0
38475,0
81882,0
79046,0
124902,0
119620,0
117353,0
102204,0
6790,0
58568,0
44387,0
50580,0
63505,0
120046,0
79958,0
88771,0
14889,1
123875,0
17132,0
81941,1
8871,0
2057,0
71953,0
75886,1
44636,0
50225,0
136972,0
128421,0
147426,0
30696,0
149139,0
45403,0
49621,1
86866,0
23314,0
41089,0
42097,0
41776,0
99438,0
61927,0
52898,0
72475,0
16714,0
5398,0
5974,1
61128,0
2917,0
73409,0
91968,0
62921,1
107174,0
133246,0
18782,0
49117,0
58970,0
112387,0
12330,0
128095,0
137403,0
55330,0
97879,0
67518,0
35552,0
131583,0
32079,0
143309,0
124393,0
52916,0
110798,0
11190,0
32528,0
82985,0
45870,0
12291,0
117743,0
114839,0
97110,0
147291,0
63812,0
82133,0
61682,0
128913,0
103637,0
113245,0
8526,0
63593,0
53888,0
75374,1
16413,0
5505,1
12523,0
